time,ip,controller,order,inner,label,square,pennelement_type,pennelement_name,parameter,value,event_time,id,text,mod,lin,syn,dupl,comments
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,24,0,experiment,NULL,Scale,judgement,Choice,7,1734465609229,undefined,У меня самого сейчас возникли вопросы к организаторам этого мероприятия.,sam,R,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,10,0,experiment,NULL,Scale,judgement,Choice,7,1734465614056,undefined,У всех у нас сегодня очень интересные доклады.,vse,L,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,41,0,experiment,NULL,Scale,judgement,Choice,1,1734465619192,undefined,Я каждый раз прошу у него помощи уставшего.,depic,E,low,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,2,0,experiment,NULL,Scale,judgement,Choice,7,1734465621372,undefined,У нас у всех сегодня очень интересные доклады.,vse,R,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,33,0,experiment,NULL,Scale,judgement,Choice,1,1734465626914,undefined,И у больного него часто получается лучше%2C чем других.,depic,L,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,23,0,experiment,NULL,Scale,judgement,Choice,5,1734465631065,undefined,У них каждого небось по куче денег.,kazhdy,R,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,34,0,experiment,NULL,Scale,judgement,Choice,1,1734465635341,undefined,У нас недавно всех произошло трагическое событие.,vse,E,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,30,0,experiment,NULL,Scale,judgement,Choice,7,1734465637719,undefined,У всех нас недавно произошло трагическое событие.,vse,L,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,39,0,experiment,NULL,Scale,judgement,Choice,1,1734465640729,undefined,Она проверила у нас домашнее задание каждого.,kazhdy,E,low,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,32,0,experiment,NULL,Scale,judgement,Choice,1,1734465648300,undefined,У самого меня сейчас возникли вопросы к организаторам этого мероприятия.,sam,L,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,5,0,experiment,NULL,Scale,judgement,Choice,7,1734465651742,undefined,У тебя и у пьяного иногда отлично голова работает.,depic,R,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,16,0,experiment,NULL,Scale,judgement,Choice,6,1734465656053,undefined,У него теперь у самого почти нет денег.,sam,E,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,29,0,experiment,NULL,Scale,judgement,Choice,3,1734465661427,undefined,Я каждый раз прошу помощи у него уставшего.,depic,R,low,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,4,0,experiment,NULL,Scale,judgement,Choice,7,1734465664935,undefined,У него у самого теперь почти нет денег.,sam,R,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,6,0,experiment,NULL,Scale,judgement,Choice,7,1734465667617,undefined,Мы уже бывали в гостях у них у всех.,vse,R,low,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,8,0,experiment,NULL,Scale,judgement,Choice,1,1734465671128,undefined,Я узнал все детали у нее у самой.,sam,R,low,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,9,0,experiment,NULL,Scale,judgement,Choice,1,1734465672872,undefined,Я никогда раньше не был у него у больного.,depic,R,low,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,12,0,experiment,NULL,Scale,judgement,Choice,1,1734465675897,undefined,У самого у него теперь почти нет денег.,sam,L,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,13,0,experiment,NULL,Scale,judgement,Choice,1,1734465680693,undefined,И у пьяного у тебя иногда отлично голова работает.,depic,L,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,35,0,experiment,NULL,Scale,judgement,Choice,1,1734465682798,undefined,У них небось каждого по куче денег.,kazhdy,E,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,20,0,experiment,NULL,Scale,judgement,Choice,1,1734465685296,undefined,Я узнал у нее все детали у самой.,sam,E,low,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,14,0,experiment,NULL,Scale,judgement,Choice,7,1734465688940,undefined,У нас сегодня у всех очень интересные доклады.,vse,E,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,27,0,experiment,NULL,Scale,judgement,Choice,1,1734465691612,undefined,Она проверила домашнее задание у нас каждого.,kazhdy,R,low,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,40,0,experiment,NULL,Scale,judgement,Choice,1,1734465695283,undefined,Она мечтала у него обо всем спросить самого.,sam,E,low,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,18,0,experiment,NULL,Scale,judgement,Choice,4,1734465699351,undefined,Мы у них уже бывали в гостях у всех.,vse,E,low,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,37,0,experiment,NULL,Scale,judgement,Choice,1,1734465702279,undefined,У него часто и больного получается лучше%2C чем других.,depic,E,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,19,0,experiment,NULL,Scale,judgement,Choice,7,1734465706217,undefined,Не волнуйся%2C он у нас это спрашивал у каждого.,kazhdy,E,low,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,17,0,experiment,NULL,Scale,judgement,Choice,7,1734465710725,undefined,У тебя иногда и у пьяного отлично голова работает.,depic,E,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,36,0,experiment,NULL,Scale,judgement,Choice,1,1734465715538,undefined,У меня сейчас самого возникли вопросы к организаторам этого мероприятия.,sam,E,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,3,0,experiment,NULL,Scale,judgement,Choice,7,1734465719113,undefined,У нас у каждого сегодня есть чем поделиться.,kazhdy,R,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,21,0,experiment,NULL,Scale,judgement,Choice,7,1734465726419,undefined,Я у него никогда раньше не был у больного.,depic,E,low,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,26,0,experiment,NULL,Scale,judgement,Choice,7,1734465729206,undefined,Он одолжил денег у них всех.,vse,R,low,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,28,0,experiment,NULL,Scale,judgement,Choice,7,1734465732084,undefined,Она мечтала обо всем спросить у него самого.,sam,R,low,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,15,0,experiment,NULL,Scale,judgement,Choice,7,1734465736454,undefined,У нас сегодня у каждого есть чем поделиться.,kazhdy,E,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,38,0,experiment,NULL,Scale,judgement,Choice,1,1734465739225,undefined,Он одолжил у них денег всех.,vse,E,low,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,11,0,experiment,NULL,Scale,judgement,Choice,1,1734465742742,undefined,У каждого у нас сегодня есть чем поделиться.,kazhdy,L,high,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,7,0,experiment,NULL,Scale,judgement,Choice,7,1734465744957,undefined,Не волнуйся%2C он это спрашивал у нас у каждого.,kazhdy,R,low,True,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,31,0,experiment,NULL,Scale,judgement,Choice,1,1734465747751,undefined,У каждого них небось по куче денег.,kazhdy,L,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,22,0,experiment,NULL,Scale,judgement,Choice,7,1734465751247,undefined,У нас всех недавно произошло трагическое событие.,vse,R,high,False,NULL
1734465754,a7fa8215f81f1beca289d1497229968d,PennController,25,0,experiment,NULL,Scale,judgement,Choice,7,1734465753808,undefined,У него и больного часто получается лучше%2C чем других.,depic,R,high,False,NULL
1734466021,7f504458c8cfcc5280967e5a2f2dd15f,PennController,26,0,experiment,NULL,Scale,judgement,Choice,5,1734465912492,undefined,Мы уже бывали в гостях у них всех.,vse,R,low,False,NULL
1734466021,7f504458c8cfcc5280967e5a2f2dd15f,PennController,14,0,experiment,NULL,Scale,judgement,Choice,7,1734465917931,undefined,У нас недавно у всех произошло трагическое событие.,vse,E,high,True,NULL
1734466021,7f504458c8cfcc5280967e5a2f2dd15f,PennController,20,0,experiment,NULL,Scale,judgement,Choice,4,1734465921594,undefined,Она мечтала у него обо всем спросить у самого.,sam,E,low,True,NULL
1734466021,7f504458c8cfcc5280967e5a2f2dd15f,PennController,13,0,experiment,NULL,Scale,judgement,Choice,6,1734465927162,undefined,И у больного у него часто получается лучше%2C чем других.,depic,L,high,True,NULL
1734466021,7f504458c8cfcc5280967e5a2f2dd15f,PennController,4,0,experiment,NULL,Scale,judgement,Choice,7,1734465929140,undefined,У меня у самого сейчас возникли вопросы к организаторам этого мероприятия.,sam,R,high,True,NULL
1734466021,7f504458c8cfcc5280967e5a2f2dd15f,PennController,10,0,experiment,NULL,Scale,judgement,Choice,7,1734465930400,undefined,У всех у нас недавно произошло трагическое событие.,vse,L,high,True,NULL
1734466021,7f504458c8cfcc5280967e5a2f2dd15f,PennController,39,0,experiment,NULL,Scale,judgement,Choice,1,1734465934578,undefined,Не волнуйся%2C он у нас это спрашивал каждого.,kazhdy,E,low,False,NULL
1734466021,7f504458c8cfcc5280967e5a2f2dd15f,PennController,33,0,experiment,NULL,Scale,judgement,Choice,6,1734465938591,undefined,И у пьяного тебя иногда отлично голова работает.,depic,L,high,False,NULL
1734466021,7f504458c8cfcc5280967e5a2f2dd15f,PennController,19,0,experiment,NULL,Scale,judgement,Choice,7,1734465940181,undefined,Она проверила у нас домашнее задание у каждого.,kazhdy,E,low,True,NULL
1734466021,7f504458c8cfcc5280967e5a2f2dd15f,PennController,35,0,experiment,NULL,Scale,judgement,Choice,1,1734465944533,undefined,У нас сегодня каждого есть чем поделиться.,kazhdy,E,high,False,NULL
