stim,dupl,pos,modifier,syntactic_position,group
У нас у всех сегодня очень интересные доклады.,True,R,vse,high,1
У нас у всех недавно произошло трагическое событие.,True,R,vse,high,2
У нас у каждого сегодня есть чем поделиться.,True,R,kazhdy,high,1
У них у каждого небось по куче денег.,True,R,kazhdy,high,2
У него у самого теперь почти нет денег.,True,R,sam,high,1
У меня у самого сейчас возникли вопросы к организаторам этого мероприятия.,True,R,sam,high,2
У тебя у и пьяного иногда отлично голова работает.,True,R,depic,high,1
"У него у и больного часто получается лучше, чем других.",True,R,depic,high,2
Мы уже бывали в гостях у них у всех.,True,R,vse,low,1
Он одолжил денег у них у всех.,True,R,vse,low,2
"Не волнуйся, он это спрашивал у нас у каждого.",True,R,kazhdy,low,1
Она проверила домашнее задание у нас у каждого.,True,R,kazhdy,low,2
Я узнал все детали у нее у самой.,True,R,sam,low,1
Она мечтала обо всем спросить у него у самого.,True,R,sam,low,2
Я никогда раньше не был у него у больного.,True,R,depic,low,1
Я каждый раз прошу помощи у него у уставшего.,True,R,depic,low,2
У всех у нас сегодня очень интересные доклады.,True,L,vse,high,1
У всех у нас недавно произошло трагическое событие.,True,L,vse,high,2
У каждого у нас сегодня есть чем поделиться.,True,L,kazhdy,high,1
У каждого у них небось по куче денег.,True,L,kazhdy,high,2
У самого у него теперь почти нет денег.,True,L,sam,high,1
У самого у меня сейчас возникли вопросы к организаторам этого мероприятия.,True,L,sam,high,2
У и пьяного у тебя иногда отлично голова работает.,True,L,depic,high,1
"У и больного у него часто получается лучше, чем других.",True,L,depic,high,2
У нас сегодня у всех очень интересные доклады.,True,E,vse,high,1
У нас недавно у всех произошло трагическое событие.,True,E,vse,high,2
У нас сегодня у каждого есть чем поделиться.,True,E,kazhdy,high,1
У них небось у каждого по куче денег.,True,E,kazhdy,high,2
У него теперь у самого почти нет денег.,True,E,sam,high,1
У меня сейчас у самого возникли вопросы к организаторам этого мероприятия.,True,E,sam,high,2
У тебя иногда у и пьяного отлично голова работает.,True,E,depic,high,1
"У него часто у и больного получается лучше, чем других.",True,E,depic,high,2
Мы у них уже бывали в гостях у всех.,True,E,vse,low,1
Он одолжил у них денег у всех.,True,E,vse,low,2
"Не волнуйся, он у нас это спрашивал у каждого.",True,E,kazhdy,low,1
Она проверила у нас домашнее задание у каждого.,True,E,kazhdy,low,2
Я узнал у нее все детали у самой.,True,E,sam,low,1
Она мечтала у него обо всем спросить у самого.,True,E,sam,low,2
Я у него никогда раньше не был у больного.,True,E,depic,low,1
Я каждый раз прошу у него помощи у уставшего.,True,E,depic,low,2
У нас всех сегодня очень интересные доклады.,False,R,vse,high,2
У нас всех недавно произошло трагическое событие.,False,R,vse,high,1
У нас каждого сегодня есть чем поделиться.,False,R,kazhdy,high,2
У них каждого небось по куче денег.,False,R,kazhdy,high,1
У него самого теперь почти нет денег.,False,R,sam,high,2
У меня самого сейчас возникли вопросы к организаторам этого мероприятия.,False,R,sam,high,1
У тебя и пьяного иногда отлично голова работает.,False,R,depic,high,2
"У него и больного часто получается лучше, чем других.",False,R,depic,high,1
Мы уже бывали в гостях у них всех.,False,R,vse,low,2
Он одолжил денег у них всех.,False,R,vse,low,1
"Не волнуйся, он это спрашивал у нас каждого.",False,R,kazhdy,low,2
Она проверила домашнее задание у нас каждого.,False,R,kazhdy,low,1
Я узнал все детали у нее самой.,False,R,sam,low,2
Она мечтала обо всем спросить у него самого.,False,R,sam,low,1
Я никогда раньше не был у него больного.,False,R,depic,low,2
Я каждый раз прошу помощи у него уставшего.,False,R,depic,low,1
У всех нас сегодня очень интересные доклады.,False,L,vse,high,2
У всех нас недавно произошло трагическое событие.,False,L,vse,high,1
У каждого нас сегодня есть чем поделиться.,False,L,kazhdy,high,2
У каждого них небось по куче денег.,False,L,kazhdy,high,1
У самого него теперь почти нет денег.,False,L,sam,high,2
У самого меня сейчас возникли вопросы к организаторам этого мероприятия.,False,L,sam,high,1
У и пьяного тебя иногда отлично голова работает.,False,L,depic,high,2
"У и больного него часто получается лучше, чем других.",False,L,depic,high,1
У нас сегодня всех очень интересные доклады.,False,E,vse,high,2
У нас недавно всех произошло трагическое событие.,False,E,vse,high,1
У нас сегодня каждого есть чем поделиться.,False,E,kazhdy,high,2
У них небось каждого по куче денег.,False,E,kazhdy,high,1
У него теперь самого почти нет денег.,False,E,sam,high,2
У меня сейчас самого возникли вопросы к организаторам этого мероприятия.,False,E,sam,high,1
У тебя иногда и пьяного отлично голова работает.,False,E,depic,high,2
"У него часто и больного получается лучше, чем других.",False,E,depic,high,1
Мы у них уже бывали в гостях всех.,False,E,vse,low,2
Он одолжил у них денег всех.,False,E,vse,low,1
"Не волнуйся, он у нас это спрашивал каждого.",False,E,kazhdy,low,2
Она проверила у нас домашнее задание каждого.,False,E,kazhdy,low,1
Я узнал у нее все детали самой.,False,E,sam,low,2
Она мечтала у него обо всем спросить самого.,False,E,sam,low,1
Я у него никогда раньше не был больного.,False,E,depic,low,2
Я каждый раз прошу у него помощи уставшего.,False,E,depic,low,1
